kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_smass
6962977,K01364.04,CONFIRMED,CANDIDATE,0.854,3.71545593,2.4623566203129155,333.0157472312134,1.6560041461070274,5296.0,4.538,0.832,0.867
6932987,K01366.01,CONFIRMED,CANDIDATE,1.0,19.25404023,4.466186887658325,984.876676415447,2.9265958296774017,5798.0,4.507,0.855,0.883
6932987,K01366.02,CONFIRMED,CANDIDATE,1.0,54.1558384,3.60696090628148,1091.5684118479874,3.081039759620471,5798.0,4.507,0.855,0.883
7287415,K01369.01,CANDIDATE,CANDIDATE,1.0,3.016182013,2.75640279619477,221.43909421667996,1.605199988948193,5611.0,4.144,0.989,1.007
6924203,K01370.01,CONFIRMED,CANDIDATE,0.995,6.8833761,2.2437372982111023,455.1009519938587,2.5664635035176038,5679.0,4.581,1.103,0.923
7211221,K01379.01,CONFIRMED,CANDIDATE,1.0,5.62154315,2.3618565186630045,171.4984700466049,1.4297822815223762,5637.0,4.439,1.001,0.958
8935810,K01395.01,CANDIDATE,CANDIDATE,1.0,6.230335,1.4923749474039196,1448.7833629380775,4.002068034318408,5477.0,4.557,0.964,0.847
9455556,K01396.01,CONFIRMED,CANDIDATE,1.0,6.62643441,3.099342600210723,813.6025147967852,2.8995310366895373,5616.0,4.529,0.932,0.944
9455556,K01396.02,CONFIRMED,CANDIDATE,0.994,3.70122061,2.458905486095552,327.3467962848775,1.8391860665182544,5616.0,4.529,0.932,0.944
9427402,K01397.01,CANDIDATE,CANDIDATE,1.0,6.247030799,1.4250689372914376,1505.5241617054626,2.5434549233066934,3821.0,4.764,0.601,0.602
9269281,K01398.01,CANDIDATE,CANDIDATE,1.0,5.82348911,1.9853157202019767,885.6658432996322,2.525342299755998,5774.0,4.526,0.778,0.824
9100484,K01399.01,CANDIDATE,CANDIDATE,1.0,8.75059775,2.732603343851756,881.7889962334235,2.4938984826469124,4942.0,4.599,0.77,0.818
9034103,K01402.01,CONFIRMED,CANDIDATE,1.0,7.13969705,3.8784947873412614,513.5440010987091,2.731220833534276,6014.0,4.486,1.105,0.983
9214942,K01403.01,CONFIRMED,CANDIDATE,1.0,18.75470238,2.9487431571745484,997.2227229347874,2.2732422899773606,3976.0,4.721,0.66,0.663
8874090,K01404.01,CONFIRMED,CANDIDATE,0.999,13.32389352,3.1325006684129724,783.1185896122195,2.0266910720421176,3751.0,4.813,0.664,0.67
8874090,K01404.02,CANDIDATE,CANDIDATE,0.953,18.9060921,3.79933720074295,382.8405269745705,1.417042058004876,3751.0,4.813,0.664,0.67
9271752,K01406.01,CONFIRMED,CANDIDATE,1.0,11.36113254,3.9926860299218183,567.0320944310414,2.698516490467945,6244.0,4.46,1.039,1.008
