target_id,star_id,koi_period,period_err,depth,depth_err,duration,duration_err,koi_smass,koi_srad,koi_prad
392795,80396,47.33408975,0.003360961,0.000404226,2.82E-05,0.259366362,0.007039989,0.904,0.919,2.015268276
392795,80396,97.7785241,0.005353087,0.000414039,4.01E-05,0.323950717,0.011156787,0.904,0.919,2.03958357
392982,25633,30.83549265,0.003797592,0.0002581,2.64E-05,0.220551543,0.009471802,0.995,1.024,1.794317326
392982,25633,63.69221425,0.002804137,0.000539289,3.19E-05,0.334975565,0.006977124,0.995,1.024,2.59367807
393013,47371,16.63158136,0.003369043,0.000145091,1.21E-05,0.187239996,0.006976743,1.07,1.026,1.347948242
393013,47371,114.6462121,0.002672379,0.000610349,2.58E-05,0.348687235,0.005161054,1.07,1.026,2.764660433
393355,8169,9.155110635,0.003465148,0.000251743,2.61E-05,0.122597713,0.006870279,0.693,0.676,1.169851181
393355,8169,39.55824704,0.00212086,0.000918813,4.59E-05,0.17783633,0.00418873,0.693,0.676,2.234938865
393896,7364,9.215654631,0.001814034,0.000182879,9.95E-06,0.122780588,0.003618924,0.798,0.779,1.149011018
393896,7364,89.0136113,0.001232219,0.000941697,2.29E-05,0.268382126,0.002597786,0.798,0.779,2.60734377
394013,73710,13.21274938,0.003689425,6.28E-05,5.80E-06,0.213493225,0.008170549,1.132,1.259,1.088624926
394013,73710,18.72429173,0.003902888,7.05E-05,6.43E-06,0.249879154,0.008843337,1.132,1.259,1.152744545
394509,43541,3.43944351,0.000365513,0.000657757,8.37E-06,0.098746123,0.000750631,1.063,1.039,2.906388882
394509,43541,12.30645534,0.002322169,0.000175072,1.29E-05,0.146559143,0.005384543,1.063,1.039,1.499438865
394690,55980,4.278885409,0.001789912,0.00013309,5.53E-06,0.186959054,0.003393197,1.275,1.68,2.113915227
394690,55980,54.1769776,0.003447546,0.00026584,1.47E-05,0.394302353,0.007073146,1.275,1.68,2.987616929
394720,55602,10.76153156,0.001807481,0.000491885,1.89E-05,0.239343194,0.003717981,1.14,1.555,3.761554567
394720,55602,19.15509842,0.001591568,0.000785118,2.53E-05,0.241450484,0.003269466,1.14,1.555,4.752292578
