,#x
703,7.42E-09
704,4.55E-09
705,2.74E-09
706,1.64E-09
707,9.70E-10
708,5.72E-10
709,3.34E-10
710,1.92E-10
711,1.09E-10
712,6.27E-11
713,3.95E-11
714,2.88E-11
715,2.38E-11
716,6.86E-11
717,4.16E-10
718,1.50E-09
719,4.14E-09
720,9.93E-09
721,2.29E-08
722,5.51E-08
723,1.56E-07
724,6.67E-07
725,0.015560684
726,0.01527515
727,1.45E-06
728,4.58E-07
729,2.06E-07
730,1.11E-07
731,6.75E-08
732,4.58E-08
733,3.40E-08
734,2.71E-08
735,2.28E-08
736,1.99E-08
737,1.79E-08
738,1.62E-08
739,1.47E-08
740,1.33E-08
741,1.19E-08
742,1.07E-08
743,9.54E-09
744,8.66E-09
745,8.13E-09
746,8.10E-09
747,8.73E-09
748,1.03E-08
749,1.32E-08
750,1.80E-08
751,2.53E-08
752,3.49E-08
753,4.31E-08
754,4.33E-08
755,3.46E-08
756,2.37E-08
757,1.51E-08
758,9.45E-09
759,5.85E-09
760,3.60E-09
761,2.21E-09
762,1.34E-09
763,8.04E-10
764,4.69E-10
765,2.63E-10
766,1.42E-10
767,7.65E-11
768,4.42E-11
769,3.00E-11
770,2.42E-11
771,7.25E-11
772,4.37E-10
773,1.58E-09
774,4.36E-09
775,1.06E-08
776,2.49E-08
777,6.30E-08
778,1.99E-07
779,1.16E-06
780,3.48E-05
781,2.13E-06
782,8.25E-07
783,4.62E-07
784,2.69E-07
785,1.60E-07
786,1.01E-07
787,6.91E-08
788,5.11E-08
789,4.04E-08
790,3.37E-08
791,2.92E-08
792,2.59E-08
793,2.33E-08
794,2.11E-08
795,1.90E-08
796,1.70E-08
797,1.52E-08
798,1.36E-08
799,1.23E-08
800,1.15E-08
801,1.13E-08
802,1.20E-08
803,1.38E-08
804,1.75E-08
805,2.38E-08
806,3.41E-08
807,4.89E-08
808,6.32E-08
809,6.38E-08
810,4.89E-08
811,3.19E-08
812,1.99E-08
813,1.23E-08
814,7.68E-09
815,4.81E-09
816,3.01E-09
817,1.86E-09
818,1.12E-09
819,6.48E-10
820,3.56E-10
821,1.85E-10
822,9.38E-11
823,5.00E-11
824,3.16E-11
825,2.45E-11
826,7.62E-11
827,4.56E-10
828,1.64E-09
829,4.54E-09
830,1.10E-08
831,2.62E-08
832,6.72E-08
833,2.12E-07
834,8.26E-07
835,1.05E-06
836,5.73E-07
837,4.27E-07
838,3.92E-07
839,3.52E-07
840,2.67E-07
841,1.81E-07
842,1.23E-07
843,8.81E-08
844,6.73E-08
845,5.44E-08
846,4.59E-08
847,4.00E-08
848,3.55E-08
849,3.18E-08
850,2.86E-08
851,2.55E-08
852,2.27E-08
853,2.01E-08
854,1.81E-08
855,1.68E-08
856,1.63E-08
857,1.69E-08
858,1.92E-08
859,2.39E-08
860,3.24E-08
861,4.75E-08
862,7.17E-08
863,9.88E-08
864,1.01E-07
865,7.27E-08
866,4.46E-08
867,2.67E-08
868,1.63E-08
869,1.02E-08
870,6.46E-09
871,4.08E-09
872,2.53E-09
873,1.51E-09
874,8.65E-10
875,4.65E-10
876,2.34E-10
877,1.13E-10
878,5.65E-11
879,3.34E-11
880,2.50E-11
881,7.92E-11
882,4.70E-10
883,1.68E-09
884,4.63E-09
885,1.12E-08
886,2.64E-08
887,6.56E-08
888,1.77E-07
889,3.70E-07
890,3.35E-07
891,2.48E-07
892,2.30E-07
893,2.72E-07
894,3.77E-07
895,4.92E-07
896,4.44E-07
897,2.97E-07
898,1.91E-07
899,1.32E-07
900,9.91E-08
901,7.96E-08
902,6.72E-08
903,5.85E-08
904,5.18E-08
905,4.60E-08
906,4.07E-08
907,3.57E-08
908,3.14E-08
909,2.79E-08
910,2.54E-08
911,2.43E-08
912,2.48E-08
913,2.75E-08
914,3.37E-08
915,4.58E-08
916,6.89E-08
917,1.12E-07
918,1.71E-07
919,1.78E-07
920,1.16E-07
921,6.46E-08
922,3.68E-08
923,2.20E-08
924,1.37E-08
925,8.61E-09
926,5.40E-09
927,3.32E-09
928,1.96E-09
929,1.10E-09
930,5.79E-10
931,2.84E-10
932,1.32E-10
933,6.28E-11
934,3.52E-11
935,2.55E-11
936,8.13E-11
937,4.78E-10
938,1.70E-09
939,4.63E-09
940,1.11E-08
941,2.53E-08
942,5.84E-08
943,1.26E-07
944,1.81E-07
945,1.58E-07
946,1.31E-07
947,1.31E-07
948,1.67E-07
949,2.72E-07
950,5.95E-07
951,1.66E-06
952,1.75E-06
953,7.03E-07
954,3.49E-07
955,2.19E-07
956,1.59E-07
957,1.28E-07
958,1.08E-07
959,9.43E-08
960,8.25E-08
961,7.15E-08
962,6.14E-08
963,5.25E-08
964,4.54E-08
965,4.04E-08
966,3.77E-08
967,3.77E-08
968,4.10E-08
969,4.96E-08
970,6.75E-08
971,1.05E-07
972,1.89E-07
973,3.51E-07
974,3.82E-07
975,2.02E-07
976,9.72E-08
977,5.16E-08
978,2.98E-08
979,1.81E-08
980,1.12E-08
981,6.91E-09
982,4.17E-09
983,2.42E-09
984,1.33E-09
985,6.84E-10
986,3.27E-10
987,1.48E-10
988,6.82E-11
