m,m_sigma,r,r_sigma
57.2,6.36,15.4,0.448
480.0,25.4,15.5,1.79
388.0,25.4,12.2,0.56
1370.0,149.0,12.3,1.57
1940.0,172.0,12.7,1.23
1370.0,57.2,12.4,0.717
375.0,35.0,17.6,0.471
232.0,11.4,16.0,0.572
874.0,50.9,15.9,0.942
871.0,35.0,10.7,0.538
467.0,22.9,20.8,3.36
776.0,57.2,16.7,0.874
4.82,0.84,2.04,0.05
346.0,27.3,11.5,1.46
613.0,60.4,11.1,0.673
1180.0,286.0,16.8,3.36
3.42,1.2,1.62,0.11
2.42,0.75,1.27,0.087
302.0,44.5,20.0,1.91
83.0,17.2,13.2,0.56
178.0,35.0,12.0,1.4
222.0,47.7,14.4,1.04
55.0,19.7,10.1,0.65
38.1,3.81,6.31,0.516
756.0,82.6,16.6,4.15
35.0,5.4,7.4,0.314
5.2,1.8,2.07,0.14
124.0,31.8,12.7,0.841
244.0,14.3,15.8,2.13
712.0,47.7,15.5,0.964
189.0,28.3,15.0,0.628
