,Planet,Per,E_Per,e_Per,Rp/Rstar,E_Rp/Rstar,e_Rp/Rstar,T,E_T,e_T,Rp,E_Rp,e_Rp,Tmax-c,E_Tmax-c,e_Tmax-c,a,E_a,e_a,S,E_S,e_S,Samp,KOI,Teff,e_Teff,FeH,e_FeH,Rstar,E_Rstar,e_Rstar,Mstar-iso,E_Mstar-iso,e_Mstar-iso,Rstar-iso,E_Rstar-iso,e_Rstar-iso,age-iso,E_age-iso,e_age-iso
811,K02079.01,0.69384266,1.62e-06,-1.62e-06,0.646,0.039,-0.039, 1.5598,0.0942,-0.0942,0.69,0.05,-0.05,1.7523,0.0469,-0.0469,0.0161,0.0002,-0.0002,2926.8087,251.2175,-251.2175,1,2079,5468,100,0.39,0.06,0.97,0.04,-0.04,1.01,0.04,-0.04,0.97,0.02,-0.02, 3.5, 3.2,-2.2
812,K02082.01,31.5888979,0.0001211,-0.0001211,1.758,0.073,-0.073, 3.3175,0.0959,-0.0959,2.63,0.15,-0.15,8.0439,0.2313,-0.2313,0.2134,0.0018,-0.0018,46.7402,4.9117,-4.9117,0,2082,6004,100,0.33,0.06,1.37,0.06,-0.06,1.24,0.03,-0.03,1.35,0.04,-0.04, 2.7, 0.9,-0.7
813,K02086.01,7.1329472,3.635e-05,-3.635e-05,1.11,0.039,-0.039, 4.2479,0.1276,-0.1276,1.75,0.1,-0.1,5.5074,0.1805,-0.1805,0.0752,0.0011,-0.0011,370.688,33.8884,-33.8884,1,2086,5825,100,-0.05,0.06,1.44,0.06,-0.06,1.03,0.05,-0.04,1.43,0.04,-0.04, 7.9, 1.5,-1.6
814,K02086.02,8.91901228,5.078e-05,-5.078e-05,1.242,0.045,-0.045, 4.0319,0.1194,-0.1194,1.96,0.11,-0.11,5.9289,0.1943,-0.1943,0.0871,0.0013,-0.0013,275.9977,25.2318,-25.2318,1,2086,5825,100,-0.05,0.06,1.44,0.06,-0.06,1.03,0.05,-0.04,1.43,0.04,-0.04, 7.9, 1.5,-1.6
815,K02086.03,11.8984948,0.0001417,-0.0001417,1.12,0.066,-0.066, 2.2967,0.2954,-0.2954,1.76,0.13,-0.13,6.5205,0.2137,-0.2137,0.1054,0.0015,-0.0015,188.6575,17.2471,-17.2471,0,2086,5825,100,-0.05,0.06,1.44,0.06,-0.06,1.03,0.05,-0.04,1.43,0.04,-0.04, 7.9, 1.5,-1.6
816,K02087.01,23.1274171,0.0001567,-0.0001567,1.157,0.052,-0.052, 4.7025,0.1463,-0.1463,1.28,0.07,-0.07,5.72,0.1137,-0.1137,0.1646,0.0017,-0.0017,43.3044,3.338,-3.338,1,2087,5983,100,0.03,0.06,1.01,0.04,-0.04,1.05,0.03,-0.04,1.01,0.02,-0.02, 1.6, 1.6,-1.1
817,K02090.01,5.13248612,9.63e-06,-9.63e-06,2.714,0.142,-0.142, 1.4199,0.0432,-0.0432,1.67,0.1,-0.1,2.4118,0.0418,-0.0418,0.0491,0.0004,-0.0004,22.4295,2.4674,-2.4674,0,2090,3725,70,0.38,0.09,0.56,0.02,-0.02,0.55,0.01,-0.01,0.56,0.01,-0.01, 9.4, 6.9,-6.4
818,K02101.01,2.89221677,7.01e-06,-7.01e-06,1.731,0.091,-0.091, 1.2968,0.0652,-0.0652,1.32,0.08,-0.08,2.2063,0.0598,-0.0598,0.0359,0.0004,-0.0004,99.9545,10.4535,-10.4535,1,2101,4258,70,0.04,0.09,0.70,0.02,-0.02,0.67,0.03,-0.02,0.66,0.02,-0.02,11.6, 5.6,-7.0
819,K02105.01,6.42199919,2.499e-05,-2.499e-05,1.173,0.049,-0.049, 2.5996,0.0824,-0.0824,1.29,0.07,-0.07,3.7567,0.1042,-0.1042,0.0697,0.0009,-0.0009,226.4216,19.4909,-19.4909,1,2105,5926,100,-0.05,0.06,1.00,0.04,-0.04,1.01,0.04,-0.04,1.00,0.02,-0.02, 2.7, 2.2,-1.6
820,K02109.01,19.7919389,0.0001144,-0.0001144,1.809,0.067,-0.067, 3.1151,0.1095,-0.1095,3.26,0.18,-0.18,8.3412,0.2247,-0.2247,0.156,0.0024,-0.0024,129.3107,11.2247,-11.2247,0,2109,6028,100,0.04,0.06,1.65,0.07,-0.07,1.22,0.04,-0.07,1.63,0.04,-0.04, 4.1, 1.4,-0.7
821,K02110.01,5.03728033,1.566e-05,-1.566e-05,0.813,0.035,-0.035, 1.8615,0.0762,-0.0762,1.28,0.08,-0.08,4.5273,0.1382,-0.1382,0.0653,0.0005,-0.0005,727.3202,72.2184,-72.2184,0,2110,6404,100,0.23,0.06,1.45,0.06,-0.06,1.35,0.03,-0.03,1.44,0.03,-0.04, 1.4, 0.5,-0.5
822,K02114.01,4.42156654,9.73e-06,-9.73e-06,2.354,0.155,-0.155, 1.9325,0.0584,-0.0584,1.61,0.12,-0.12,2.4204,0.0791,-0.0791,0.0461,0.0004,-0.0004,44.2878,5.564,-5.564,1,2114,4101,70,-0.13,0.09,0.62,0.02,-0.02,0.61,0.01,-0.02,0.61,0.02,-0.02,11.9, 5.5,-7.1
823,K02119.01,0.57103835,6.8e-07,-6.8e-07,1.413,0.061,-0.061, 1.0678,0.0351,-0.0351,1.19,0.07,-0.07,1.4614,0.0622,-0.0622,0.0133,0.0002,-0.0002,2243.1855,303.5108,-303.5108,1,2119,5100,100,0.18,0.06,0.77,0.03,-0.03,0.85,0.03,-0.03,0.81,0.04,-0.03, 5.1, 6.2,-3.7
824,K02120.01,8.77425786,2.931e-05,-2.931e-05,1.405,0.072,-0.072, 2.0487,0.0813,-0.0813,1.1,0.07,-0.07,3.4086,0.1259,-0.1259,0.0786,0.001,-0.001,51.4993,6.5312,-6.5312,1,2120,5026,100,-0.05,0.06,0.72,0.03,-0.03,0.78,0.03,-0.03,0.75,0.03,-0.02, 5.4, 6.6,-3.9
825,K02126.01,9.69310837,3.035e-05,-3.035e-05,3.056,0.121,-0.121, 2.6180,0.0701,-0.0701,2.36,0.14,-0.14,3.3786,0.1179,-0.1179,0.081,0.0011,-0.0011,31.8107,4.5985,-4.5985,1,2126,4707,110,-0.16,0.09,0.71,0.03,-0.03,0.70,0.03,-0.03,0.69,0.03,-0.03, 9.8, 6.5,-6.5
826,K02130.01,16.85592593,6.43e-05,-6.43e-05,2.694,0.141,-0.141, 2.2371,0.1136,-0.1136,1.9,0.12,-0.12,3.8276,0.1074,-0.1074,0.1118,0.0009,-0.0009,7.6004,0.9059,-0.9059,0,2130,4068,70,-0.06,0.09,0.65,0.02,-0.02,0.61,0.01,-0.01,0.62,0.02,-0.02,12.1, 5.3,-7.1
827,K02135.01,55.1866213,0.0003462,-0.0003462,1.799,0.07,-0.07, 8.8166,0.1463,-0.1463,2.91,0.16,-0.16,10.4923,0.3478,-0.3478,0.3073,0.0032,-0.0032,29.3162,2.8946,-2.8946,1,2135,6171,100,0.05,0.06,1.47,0.06,-0.06,1.23,0.03,-0.04,1.46,0.05,-0.04, 3.2, 0.9,-0.7
828,K02135.02,20.1890396,0.0003122,-0.0003122,0.985,0.049,-0.049, 6.0087,0.2897,-0.2897,1.58,0.1,-0.1,7.5293,0.2496,-0.2496,0.1582,0.0017,-0.0017,110.5544,10.9159,-10.9159,1,2135,6171,100,0.05,0.06,1.47,0.06,-0.06,1.23,0.03,-0.04,1.46,0.05,-0.04, 3.2, 0.9,-0.7
829,K02135.03,8.48651582,5.335e-05,-5.335e-05,0.978,0.041,-0.041, 5.1478,0.1340,-0.1340,1.57,0.09,-0.09,5.6565,0.1875,-0.1875,0.0893,0.0009,-0.0009,347.0609,34.268,-34.268,1,2135,6171,100,0.05,0.06,1.47,0.06,-0.06,1.23,0.03,-0.04,1.46,0.05,-0.04, 3.2, 0.9,-0.7
830,K02137.01,14.97436238,4.734e-05,-4.734e-05,1.483,0.07,-0.07, 2.4316,0.0842,-0.0842,1.32,0.08,-0.08,4.3442,0.1301,-0.1301,0.1138,0.0016,-0.0016,35.8097,3.1502,-3.1502,0,2137,5292,100,-0.12,0.06,0.81,0.03,-0.03,0.82,0.03,-0.04,0.81,0.02,-0.02, 7.1, 5.0,-3.9
831,K02143.01,4.79029482,1.966e-05,-1.966e-05,1.087,0.059,-0.059, 2.6629,0.0912,-0.0912,1.02,0.07,-0.07,3.0288,0.0572,-0.0572,0.0561,0.0005,-0.0005,186.1702,16.8278,-16.8278,1,2143,5435,100,0.23,0.06,0.85,0.04,-0.03,0.94,0.02,-0.03,0.87,0.02,-0.01, 2.0, 2.6,-1.4
