"","x"
"286",7.24055121895799e-08
"287",8.17387356433533e-08
"288",7.21087538037962e-08
"289",5.09372604983354e-08
"290",3.26063743260508e-08
"291",2.06846098079194e-08
"292",1.35161800502355e-08
"293",9.25312391050937e-09
"294",6.70843502486248e-09
"295",5.18195149640401e-09
"296",4.25556256372494e-09
"297",3.67355220113874e-09
"298",3.27958815447076e-09
"299",2.9813648940477e-09
"300",2.72839268854007e-09
"301",2.49781209854493e-09
"302",2.28610953919542e-09
"303",2.10450254513643e-09
"304",1.97574397693176e-09
"305",1.93107098486685e-09
"306",2.0069761598238e-09
"307",2.24135899543816e-09
"308",2.66732235674653e-09
"309",3.30111282381619e-09
"310",4.12005861519558e-09
"311",5.03080801732957e-09
"312",5.84494579142022e-09
"313",6.30588210260907e-09
"314",6.20402141423085e-09
"315",5.52054851651355e-09
"316",4.45249721265007e-09
"317",3.28348538371743e-09
"318",2.23757240239641e-09
"319",1.42428907731386e-09
"320",8.5841606585041e-10
"321",5.00702735959788e-10
"322",2.92112734002684e-10
"323",1.76519555000243e-10
"324",1.12485751665167e-10
"325",7.53476336558649e-11
"326",5.28440999851966e-11
"327",3.91776219205541e-11
"328",3.10558780445628e-11
"329",2.62105054540595e-11
"330",2.30720731343486e-11
"331",2.00245460660403e-10
"332",3.89488020597506e-10
"333",1.0760696546643e-09
"334",2.68608044212966e-09
"335",5.76396012831386e-09
"336",1.10141447168706e-08
"337",1.92372572664835e-08
"338",3.11336046168665e-08
"339",4.74299849066061e-08
"340",6.94948505169831e-08
"341",9.67476170123979e-08
"342",1.13981938702824e-07
"343",9.73377633025702e-08
"344",6.3728311968533e-08
"345",3.83460986447207e-08
"346",2.34383883957043e-08
"347",1.50169676925353e-08
"348",1.01893146803013e-08
"349",7.36924209609512e-09
"350",5.69844286040217e-09
"351",4.69015931335277e-09
"352",4.05567461689695e-09
"353",3.62159530743068e-09
"354",3.28689935023159e-09
"355",2.99747003851415e-09
"356",2.73016160174194e-09
"357",2.48330925178857e-09
"358",2.27119854017031e-09
"359",2.12030384536222e-09
"360",2.06612415130165e-09
"361",2.15026929250046e-09
"362",2.41713769181468e-09
"363",2.90797648328991e-09
"364",3.64785472273447e-09
"365",4.61943243990421e-09
"366",5.72125766703584e-09
"367",6.7291135501443e-09
"368",7.31987528246314e-09
"369",7.21969088726151e-09
"370",6.40263954865182e-09
"371",5.12494203103664e-09
"372",3.74387876425286e-09
"373",2.52671232529641e-09
"374",1.59284065845145e-09
"375",9.49761346483686e-10
"376",5.46484639825195e-10
"377",3.13205193964186e-10
"378",1.85464801130142e-10
"379",1.16047797617629e-10
"380",7.67455904591571e-11
"381",5.34219704555047e-11
"382",3.94390482289562e-11
"383",3.11834137182657e-11
"384",2.62767736081671e-11
"385",2.31112619304316e-11
